location,sbert_relevance_score,zeroshot_relevance_score,relevance_score,latitude,longitude
Bolivia,0.3784976959228515,0.6370837569236756,0.5077907264232635,-17.0568696,-64.9912286
Bologna,0.1395378857851028,0.5873104870319367,0.3634241864085197,44.4938203,11.3426327
Bolton,0.2492440670728683,0.8388082981109619,0.5440261825919152,53.5782863,-2.4300367
Bonn,0.1075359217822551,0.6050842642784119,0.3563100930303335,50.7352621,7.1024635
Boston,0.6103846549987793,0.9846412420272828,0.797512948513031,42.3554334,-71.060511
Brazil,0.3484802931547165,0.8964882373809815,0.6224842652678491,-10.3333333,-53.2
Bremen,0.0332074703648686,0.5121642053127289,0.27268583783879874,53.0758196,8.8071646
Brooklyn,0.4257079780101776,0.9125524401664734,0.6691302090883255,40.6526006,-73.9497211
Bucharest,0.3121240198612213,0.6692285120487214,0.4906762659549713,44.4378654,26.0863631
Bulgaria,0.5395765662193298,0.9674949407577514,0.7535357534885406,42.6073975,25.4856617
Cairo,0.32375428378582,0.747086477279663,0.5354203805327415,30.0443879,31.2357257
Calgary,0.4138734385371208,0.8814485669136047,0.6476610027253628,51.0456064,-114.057541
California,0.367195688188076,0.815880811214447,0.5915382497012616,36.7014631,-118.755997
Cambodia,0.2905936688184738,0.973753023147583,0.6321733459830284,12.5433216,104.8144914
Cambridge,0.4454208672046661,0.8806031346321106,0.6630120009183884,52.2055314,0.1186637
Camden,0.5654176652431488,0.9962579488754272,0.7808378070592881,39.9448402,-75.1198911
Canada,0.1576174385845661,0.9678346872329712,0.5627260629087686,61.0666922,-107.991707
Canterbury,0.4814566254615783,0.6633174180984497,0.572387021780014,51.2800275,1.0802533
Cebu,0.5962741851806641,0.9956433653831482,0.7959587752819062,10.47,123.83
Chester,0.433302229642868,0.9534392714500428,0.6933707505464555,53.1908873,-2.8908955
Chicago,0.0621565371751785,0.7671605944633484,0.41465856581926347,41.8755616,-87.6244212
Chile,0.0271807411685586,0.441918808221817,0.2345497746951878,-31.7613365,-71.3187697
Cincinnati,0.3720261693000793,0.9980546236038208,0.68504039645195,39.1014537,-84.5124602
Cleveland,0.1982514917850494,0.9044975876808168,0.551374539732933,41.4996574,-81.6936772
Colchester,0.6011564016342164,0.993535339832306,0.7973458707332612,51.8896903,0.8994651
Cologne,0.237128284573555,0.8707134962081909,0.553920890390873,50.938361,6.959974
Colombia,0.4005100309848785,0.6967840105295181,0.5486470207571983,4.099917,-72.9088133
Constantinople,0.5587145507335662,0.8467849612236023,0.7027497559785842,41.006381,28.9758715
Copenhagen,0.5340549118816853,0.3760031849145889,0.45502904839813707,55.6867243,12.5700724
Dallas,0.2106117144227028,0.6749222934246063,0.44276700392365453,32.7762719,-96.7968559
Denmark,0.5370048642158508,0.996551263332367,0.7667780637741088,55.670249,10.3333283
Denver,0.3089091300964355,0.9134986877441408,0.6112039089202881,39.7392364,-104.984862
Derby,0.4512063771486282,0.5969356596469879,0.5240710183978081,52.9142235,-1.4719885
Detroit,0.3667270898818969,0.946651601791382,0.6566893458366394,42.3315509,-83.0466403
Dresden,0.6117642343044281,0.994508981704712,0.8031366080045701,51.0493286,13.7381437
Dubai,0.5125868201255799,0.9955658674240112,0.7540763437747955,25.0742823,55.1885387
Dublin,0.3853575617074966,0.6360516846179962,0.5107046231627463,53.3493795,-6.2605593
Edinburgh,0.2637589901685714,0.865906810760498,0.5648329004645347,55.9533456,-3.1883749
Egypt,0.3734199970960617,0.8118170619010925,0.5926185294985771,26.2540493,29.2675469
England,0.337401807308197,0.9883469223976136,0.6628743648529053,52.5310214,-1.2649062
Ethiopia,0.2671028643846512,0.6983377575874329,0.48272031098604207,10.2116702,38.6521203
Exeter,0.777255117893219,0.9943746447563172,0.8858148813247682,50.7256138,-3.5269209
Fiji,0.4652438938617706,0.5370605766773224,0.5011522352695466,-18.1239696,179.0122737
Finland,0.4293844223022461,0.965105164051056,0.697244793176651,63.2467777,25.9209164
Florence,0.6163852453231812,0.9675925731658936,0.7919889092445374,43.7697955,11.2556404
Florida,0.4176839232444763,0.9950963020324708,0.7063901126384735,27.7567667,-81.4639835
France,0.4437913000583648,0.6599856555461884,0.5518884778022766,46.603354,1.8883335
Frankfurt,0.4632266223430633,0.9954310059547424,0.7293288141489028,50.1106444,8.6820917
Gary,0.128859033063054,0.8524667382240295,0.49066288564354177,41.6020962,-87.3370646
Geneva,0.3747748434543609,0.6252063274383545,0.49999058544635766,46.2017559,6.1466014
Germany,0.2101258125156164,0.7249151289463043,0.46752047073096037,51.1638175,10.4478313
Ghana,0.5249113738536835,0.996263301372528,0.7605873376131058,8.0300284,-1.0800271
Gibraltar,0.0556934505701065,0.2104495793581008,0.13307151496410366,36.1285933,-5.3474761
Gloucester,0.1475306630134582,0.3826160341501236,0.2650733485817909,51.8653705,-2.2458192
Greece,0.2508822001516819,0.967214059829712,0.6090481299906969,38.9953683,21.9877132
Greenland,0.4481822431087494,0.9209127306938172,0.6845474869012833,71.8171799,-40.4342857
Haiti,0.4610642790794372,0.9129023551940918,0.6869833171367645,19.1399952,-72.3570972
Hamburg,0.1830148220062256,0.5871229827404022,0.3850689023733139,53.550341,10.000654
Hanover,0.1688895367085933,0.6517132103443146,0.41030137352645396,52.3744779,9.7385532
Harrisburg,0.4594168679788709,0.8056822717189789,0.6325495698489249,40.2663107,-76.8861122
Heidelberg,-0.0133558247238397,0.5189967632293702,0.25282046925276525,49.4093582,8.694724
Helsinki,0.1096775405108928,0.6208064794540405,0.3652420099824667,60.1674881,24.9427473
Hiroshima,0.2332708492875099,0.6249450802803039,0.4291079647839069,34.3917241,132.4517589
Hollywood,0.5251904606819153,0.997630262374878,0.7614103615283967,34.0980031,-118.329523
Honolulu,0.2725242346525192,0.7877392888069152,0.5301317617297172,21.304547,-157.855676
Houston,0.4229602873325347,0.9975322723388672,0.710246279835701,29.7589382,-95.3676974
Hungary,0.4688601076602935,0.9968551754951476,0.7328576415777206,47.1817585,19.5060937
India,0.3631437629461288,0.8847576141357422,0.6239506885409355,22.3511148,78.6677428
Indianapolis,0.3481528162956238,0.983019232749939,0.6655860245227814,39.7683331,-86.1583502
Indonesia,0.4187650352716446,0.893565708398819,0.6561653718352318,-2.4833826,117.8902853
Iran,0.3298547863960266,0.7101758360862732,0.5200153112411499,32.6475314,54.5643516
Iraq,0.2874310076236724,0.7403904557228088,0.5139107316732406,33.0955793,44.1749775
Ireland,0.2211679946631193,0.7761793613433838,0.4986736780032516,52.865196,-7.9794599
Israel,0.2805958271026611,0.76264528632164,0.5216205567121506,30.8124247,34.8594762
Italy,0.4814258515834808,0.9966248750686646,0.7390253633260727,42.6384261,12.674297
Jamaica,0.4617156803607941,0.4581000298261642,0.45990785509347915,18.1850507,-77.3947693
Japan,0.4116189982742071,0.8893234431743622,0.6504712207242846,36.5748441,139.2394179
Jerusalem,0.5107466757297516,0.927419364452362,0.7190830200910567,31.7788472,35.2257856
Kabul,0.4054440438747406,0.6481245994567871,0.5267843216657638,34.5266431,69.1849082
Karachi,0.5190551429986954,0.9374578595161438,0.7282565012574196,24.8546842,67.0207055
Kensington,0.1650357387959957,0.7299074828624725,0.44747161082923415,51.4989948,-0.1991229
Kent,0.2996451042592525,0.8840684294700623,0.5918567668646574,51.2070748,0.7210362
Kenya,0.4830662459135055,0.8990888714790344,0.69107755869627,1.4419683,38.4313975
Kiev,0.4736075639724731,0.6667225390672684,0.5701650515198707,50.4500336,30.5241361
Kolkata,0.2415038242936134,0.5605275630950928,0.4010156936943531,22.5726459,88.3638953
Kyrgyzstan,0.4610620588064194,0.8438644409179688,0.6524632498621941,41.5089324,74.724091
Laos,0.1753044635057449,0.4492672145366668,0.3122858390212059,20.0171109,103.378253
Leiden,0.534910011291504,0.997213649749756,0.7660618305206299,52.1594747,4.4908843
Leipzig,0.1579139426350593,0.8350819230079651,0.4964979328215122,51.3406321,12.3747329
Libya,0.2747749418020248,0.8418120741844177,0.5582935079932212,26.8234472,18.1236723
Lisbon,0.3976678431034088,0.6226274967193604,0.5101476699113846,38.7077507,-9.1365919
London,0.4205787658691406,0.9482799768447876,0.6844293713569641,51.5074456,-0.1277653
Luxembourg,0.5382223129272461,0.9969550490379332,0.7675886809825896,49.8158683,6.1296751
Lviv,0.2530394703149795,0.4442650198936462,0.3486522451043128,49.841952,24.0315921
Lyon,0.398324716091156,0.9656179666519163,0.6819713413715361,45.7578137,4.8320114
Madagascar,0.5260951101779938,0.9846304774284362,0.755362793803215,-18.9249604,46.4416422
Madison,0.3558869548141956,0.7572685241699219,0.5565777394920587,43.074761,-89.3837613
Madrid,0.4097251236438751,0.8069842040538788,0.6083546638488769,40.4167047,-3.7035825
Mainz,0.3468922764062881,0.6579985111951828,0.5024453938007355,49.9995205,8.2736253
Malaysia,0.1084013162180781,0.5208237886428833,0.3146125524304807,4.5693754,102.2656823
Mali,0.2583157263696193,0.732616412639618,0.49546606950461863,16.3700359,-2.2900239
Malta,0.1442533373832702,0.6652764439582824,0.4047648906707763,35.8885993,14.4476911
Manchester,0.3220739692449569,0.9690709471702575,0.6455724582076072,53.4794892,-2.2451148
Medina,0.6482057690620422,0.993183982372284,0.820694875717163,29.2836281,-99.1126826
Melbourne,0.3064926773309707,0.7760142683982849,0.5412534728646278,-37.8142454,144.9631732
Metz,0.0427026636898517,0.8743623852729797,0.4585325244814157,49.1196964,6.1763552
Mexico,0.4015356868505478,0.9571353316307069,0.6793355092406274,23.6585116,-102.0077097
Miami,0.4100000008940697,0.9275381803512572,0.6687690906226634,25.7741728,-80.19362
Milan,0.3868720501661301,0.9325183629989624,0.6596952065825462,45.4641943,9.1896346
Moldova,0.6929886102676391,0.9940767645835876,0.8435326874256134,47.2879608,28.5670941
Mongolia,0.6107040643692017,0.9754556059837342,0.7930798351764679,46.8250388,103.8499736
Montgomery,0.0430692953988909,0.5808603703975678,0.31196483289822935,32.37742,-86.3091683
Montreal,0.2900678977370262,0.7424695312976837,0.5162687145173549,45.5031824,-73.5698065
Morocco,0.3627619717270136,0.7672903001308441,0.5650261359289288,28.3347722,-10.3713379
Morris,0.0050833031535148,0.637928569316864,0.3215059362351894,33.0738633,-94.7392197
Moscow,0.3022463902831077,0.7550432622432709,0.5286448262631893,55.625578,37.6063916
Mozambique,0.3401529505848885,0.7100485000759363,0.5251007253304124,-19.302233,34.9144977
Mumbai,0.2054474979639053,0.6330093383789063,0.41922841817140577,19.054999,72.8692035
Munich,0.2669713526964187,0.6565957933664321,0.4617835730314254,48.1371079,11.5753822
Mysore,0.3716025959700346,0.8218191266059875,0.5967108612880111,12.3051828,76.6553609
Nagoya,0.670223331451416,0.9946661353111268,0.8324447333812715,35.1851045,136.8998438
Nanjing,0.1170018337666988,0.7214372873306274,0.4192195605486631,32.0438284,118.7788631
